feature1-total words,feature2-first-person pronoun,feature3-negation word,feature4-positive word,feature5-negative word,feature8-tokens per sentence,feature10-dependency tree depth,feature15-attributives,feature16-adverbials,feature19-positive emotion,feature20-negative emotion,feature21-neutral emotionb,SE-self-esteem
63,0.079365079,0,0.222222222,0.015873016,15.75,5.75,5,1.25,0.75,0.25,0,28
81,0.098765432,0.037037037,0.185185185,0.024691358,11.42857143,4.428571429,1.714285714,3.571428571,0.714285714,0.285714286,0,28
64,0.078125,0.015625,0.125,0.015625,10.66666667,4.5,2.333333333,2.833333333,0.833333333,0.166666667,0,27
90,0.122222222,0,0.155555556,0.011111111,11.25,4.875,2.5,2.5,0.75,0.25,0,26
79,0.113924051,0,0.088607595,0.075949367,11.42857143,5,2.142857143,3.428571429,0.428571429,0.571428571,0,28
83,0.084337349,0,0.120481928,0.060240964,9.555555556,4.888888889,1.666666667,2.555555556,0.777777778,0.222222222,0,32
78,0.128205128,0,0.115384615,0.012820513,11.28571429,4.428571429,1.285714286,3.714285714,0.571428571,0.285714286,0.142857143,32
78,0.051282051,0,0.064102564,0,9.875,3.75,1.75,3.375,0.25,0.5,0.25,40
64,0.078125,0.015625,0.15625,0.03125,8.857142857,4,2.428571429,1.714285714,0.571428571,0.428571429,0,32
118,0.13559322,0.042372881,0.152542373,0.025423729,13.11111111,5,1.666666667,3.444444444,0.444444444,0.555555556,0,36
94,0.106382979,0,0.14893617,0,10.44444444,4.777777778,1.111111111,2.333333333,1,0,0,28
63,0.111111111,0,0.19047619,0.031746032,10.5,3.666666667,1,3.166666667,0.833333333,0.166666667,0,24
99,0.131313131,0.02020202,0.080808081,0.080808081,10.77777778,4.666666667,2.111111111,2.222222222,0.222222222,0.777777778,0,23
111,0.099099099,0.027027027,0.153153153,0.018018018,12.44444444,4.888888889,2.333333333,3.555555556,0.777777778,0.222222222,0,28
56,0.053571429,0,0.178571429,0,11.2,4.2,1.8,3,0.8,0.2,0,31
72,0.083333333,0.027777778,0.138888889,0.027777778,11.83333333,4.5,2.5,3.166666667,0.833333333,0.166666667,0,31
80,0.1125,0.0125,0.1375,0.0125,9.875,4.125,0.875,3.375,0.875,0.125,0,30
106,0.056603774,0.047169811,0.141509434,0.028301887,10.3,4.3,1,4,0.4,0.5,0.1,28
68,0.102941176,0.014705882,0.088235294,0.029411765,8.125,3.75,1.25,2.5,0.375,0.5,0.125,30
88,0.068181818,0.022727273,0.068181818,0.011363636,14.66666667,5.333333333,2.166666667,3.833333333,0.666666667,0.333333333,0,30
76,0.105263158,0.013157895,0.131578947,0.013157895,10.85714286,5,2.714285714,1.571428571,0.857142857,0.142857143,0,33
85,0.129411765,0.011764706,0.082352941,0.023529412,12,4.142857143,1.142857143,4.142857143,0.428571429,0.571428571,0,24
97,0.113402062,0,0.144329897,0,12.25,4.625,2.125,3.875,0.75,0.125,0.125,30
49,0.06122449,0,0.12244898,0,10,4.8,2.2,2.8,1,0,0,30
54,0.037037037,0,0.222222222,0,13.25,5.5,1.25,2.5,1,0,0,30
86,0.104651163,0.011627907,0.069767442,0.023255814,12.28571429,4.428571429,1.285714286,3.857142857,0.428571429,0.571428571,0,25
80,0.1,0,0.1375,0,13.16666667,4.666666667,2.666666667,3.166666667,1,0,0,31
76,0.092105263,0,0.184210526,0.013157895,12.66666667,5.5,2.166666667,3.166666667,0.833333333,0,0.166666667,31
81,0.074074074,0,0.086419753,0.024691358,11.57142857,4.428571429,1.714285714,3.571428571,0.285714286,0.714285714,0,29
68,0.073529412,0,0.117647059,0.058823529,11.5,4.333333333,1.5,3.666666667,0.333333333,0.666666667,0,29
90,0.088888889,0.011111111,0.1,0.022222222,15,5.833333333,3.166666667,3.166666667,0.5,0.5,0,30
76,0.118421053,0.039473684,0.184210526,0.013157895,9.625,4.25,0.625,3.125,0.5,0.5,0,40
92,0.065217391,0.02173913,0.130434783,0.010869565,11.25,4.875,2.5,2.75,0.75,0,0.25,30
135,0.074074074,0.014814815,0.081481481,0.044444444,16.875,5,2.75,3.75,0.375,0.625,0,29
95,0.063157895,0.021052632,0.136842105,0.021052632,9.6,4.2,1.9,2.4,0.5,0.4,0.1,36
61,0.114754098,0.016393443,0.098360656,0.016393443,12.2,4.8,2.6,3.2,0.4,0.4,0.2,32
44,0.090909091,0.022727273,0.159090909,0.022727273,6.428571429,3.714285714,0.428571429,2.142857143,0.714285714,0.142857143,0.142857143,34
