feature1-total words,feature2-first-person pronoun,feature3-negation word,feature4-positive word,feature5-negative word,feature8-tokens per sentence,feature10-dependency tree depth,feature15-attributives,feature16-adverbials,feature19-positive emotion,feature20-negative emotion,feature21-neutral emotionb,SE-self-esteem
72,0.097222222,0.013888889,0.125,0,14.4,5,3.6,3.2,0.6,0.4,0,28
88,0.056818182,0.011363636,0.022727273,0.011363636,15,5,2.5,5.833333333,0.5,0.5,0,28
63,0.079365079,0.031746032,0.031746032,0.047619048,15.75,5.25,2.75,6.25,1,0,0,27
58,0.120689655,0,0.086206897,0.034482759,11.6,4.6,2.4,3.4,0.6,0.2,0.2,26
76,0.092105263,0.013157895,0.078947368,0.039473684,10.85714286,5.285714286,2,2.857142857,0.428571429,0.428571429,0.142857143,28
75,0.133333333,0,0.133333333,0,11.14285714,5.285714286,1.571428571,2.571428571,0.714285714,0,0.285714286,32
74,0.054054054,0.027027027,0.027027027,0.081081081,9.375,4,1.25,3.625,0.25,0.625,0.125,32
75,0.04,0,0.173333333,0.053333333,13,5.5,1.666666667,3.333333333,0.666666667,0.333333333,0,40
63,0.111111111,0.047619048,0.063492063,0.031746032,10.5,4.666666667,1.666666667,3.666666667,0.666666667,0.333333333,0,32
109,0.155963303,0.018348624,0.100917431,0.04587156,10.9,4.6,1.6,3,0.4,0.5,0.1,36
108,0.12037037,0.018518519,0.092592593,0.027777778,13.5,4.375,1.375,5.5,0.5,0.5,0,28
69,0.043478261,0.028985507,0.130434783,0.101449275,6.9,3.1,0.6,2.6,0.4,0.6,0,24
116,0.146551724,0.060344828,0.120689655,0.00862069,10.54545455,4.363636364,1.363636364,3.363636364,0.545454545,0.272727273,0.181818182,23
104,0.057692308,0.009615385,0.173076923,0.038461538,14.85714286,4.857142857,1.714285714,4.285714286,0.428571429,0.571428571,0,28
57,0.070175439,0.01754386,0.105263158,0.035087719,11.4,4.2,0.6,4.8,0.2,0.8,0,31
