feature1-total words,feature2-first-person pronoun,feature3-negation word,feature4-positive word,feature5-negative word,feature8-tokens per sentence,feature10-dependency tree depth,feature15-attributives,feature16-adverbials,feature19-positive emotion,feature20-negative emotion,feature21-neutral emotionb,SE-self-esteem
92,0.141304348,0.010869565,0.152173913,0.032608696,13,5.285714286,2,4.285714286,0.571428571,0.428571429,0,29
91,0.10989011,0,0.186813187,0.021978022,13,5.285714286,2.571428571,2.428571429,1,0,0,30
63,0.111111111,0,0.158730159,0,12.6,5.8,1.6,3.2,1,0,0,28
83,0.024096386,0.060240964,0.084337349,0.012048193,17,5,1.8,5.4,0.6,0.4,0,27
98,0.071428571,0.020408163,0.163265306,0.010204082,9.8,4.2,0.9,4.1,0.6,0.4,0,33
85,0.105882353,0.035294118,0.105882353,0.023529412,12.28571429,4.714285714,1.142857143,3.571428571,0.571428571,0.285714286,0.142857143,35
72,0.097222222,0,0.138888889,0,14.2,4.8,3,3.8,0.4,0.2,0.4,27
60,0.066666667,0,0.15,0,14.75,5,3.5,3.25,1,0,0,33
83,0.096385542,0.024096386,0.144578313,0.060240964,14,5.166666667,2,3.333333333,0.166666667,0.833333333,0,22
86,0.11627907,0.011627907,0.104651163,0.046511628,17.2,5.8,1.4,4,0.8,0,0.2,33
